,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
8992,Divorced,7298,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859080296,1.011611859080296
8993,Divorced,7430,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909031647931,1.029909031647931
8994,Divorced,7443,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0317110259159556,1.0317110259159556
8995,Divorced,7688,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0656716871210354,1.0656716871210354
9152,Divorced,7298,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4000359169234602,1.0836197682504884
9012,Divorced,7298,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4000359169234602,1.0836197682504884
8996,Divorced,7896,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0945035954094298,1.0945035954094298
9019,Divorced,7430,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089491095,1.1007206104099843
9160,Divorced,7430,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089491095,1.1007206104099843
9026,Divorced,7443,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4201350837591198,1.1024068621465957
9168,Divorced,7443,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4201350837591198,1.1024068621465957
8997,Divorced,7978,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1058700207923544,1.1058700207923544
9176,Divorced,7688,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4540957449641996,1.1342527908022726
9033,Divorced,7688,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4540957449641996,1.1342527908022726
9184,Divorced,7896,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.482927653252594,1.1613833859133333
9040,Divorced,7896,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.482927653252594,1.1613833859133333
9192,Divorced,7978,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4942940786355186,1.1721014254741917
9047,Divorced,7978,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4942940786355186,1.1721014254741917
8998,Divorced,8614,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1940291249818678,1.1940291249818678
640,Married-civ-spouse,5060,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.7013916150926691,1.2214541324676513
