,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
8992,Divorced,7298,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859,1.011611859
8993,Divorced,7430,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909032,1.029909032
8994,Divorced,7443,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.031711026,1.031711026
8995,Divorced,7688,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.065671687,1.065671687
9152,Divorced,7298,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.400035917,1.083619768
9012,Divorced,7298,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.400035917,1.083619768
8996,Divorced,7896,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.094503595,1.094503595
9019,Divorced,7430,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089,1.10072061
9160,Divorced,7430,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089,1.10072061
9026,Divorced,7443,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.420135084,1.102406862
9168,Divorced,7443,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.420135084,1.102406862
8997,Divorced,7978,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.105870021,1.105870021
9176,Divorced,7688,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.454095745,1.134252791
9033,Divorced,7688,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.454095745,1.134252791
9184,Divorced,7896,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.482927653,1.161383386
9040,Divorced,7896,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.482927653,1.161383386
9192,Divorced,7978,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.494294079,1.172101425
9047,Divorced,7978,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.494294079,1.172101425
8998,Divorced,8614,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.194029125,1.194029125
640,Married-civ-spouse,5060,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.701391615,1.221454132
,,,,,,,,,,,,,,,1.113186508
