,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
0,Married-civ-spouse,5060,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.7013916150926691,0.7013916150926691
1,Married-civ-spouse,5178,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.7177481784485851,0.7177481784485851
2,Married-civ-spouse,5455,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.7561445178518793,0.7561445178518793
3,Married-civ-spouse,5556,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.7701446271649939,0.7701446271649939
4,Married-civ-spouse,5721,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.7930160928745373,0.7930160928745373
160,Married-civ-spouse,5060,8,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.0898156729358333,0.801762712049926
20,Married-civ-spouse,5060,10,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.0898156729358333,0.801762712049926
27,Married-civ-spouse,5178,10,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.1061722362917492,0.8161101006467275
168,Married-civ-spouse,5178,8,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.1061722362917492,0.8161101006467275
5,Married-civ-spouse,6097,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.8451353117035578,0.8451353117035578
34,Married-civ-spouse,5455,10,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.1445685756950434,0.8500751617291266
176,Married-civ-spouse,5455,8,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.1445685756950434,0.8500751617291267
41,Married-civ-spouse,5556,10,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.158568685008158,0.8625520247860167
184,Married-civ-spouse,5556,8,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.158568685008158,0.8625520247860167
6,Married-civ-spouse,6360,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.8815910418951334,0.8815910418951334
192,Married-civ-spouse,5721,8,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.1814401507177015,0.8830332792535888
48,Married-civ-spouse,5721,10,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.1814401507177015,0.8830332792535888
7,Married-civ-spouse,6418,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.8896307086293971,0.8896307086293971
8,Married-civ-spouse,6497,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.9005812891812393,0.9005812891812393
9,Married-civ-spouse,6514,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.9029377432240406,0.9029377432240406
