Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
<0,6,critical_account,radio/television,1169,unknown_or_no_savings_account,>7,4,male-single,none,4,real_estate,67,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,12,critical_account,education,2096,<100,4=<_and_<7,2,male-single,none,3,real_estate,49,none,own,1,unskilled-resident,2,no,no,good
<0,42,existing_dues_cleared_for_now,furniture/equipment,7882,<100,4=<_and_<7,2,male-single,guarantor,4,building society/savings agreement/life insurance,45,none,for_free,1,skilled_employee/official,2,no,no,good
<0,24,delay_in_paying_off,car (new),4870,<100,1=<_and_<4,3,male-single,none,4,unknown/no_property,53,none,for_free,2,skilled_employee/official,2,no,no,bad
no_checking_account,36,existing_dues_cleared_for_now,education,9055,unknown_or_no_savings_account,1=<_and_<4,2,male-single,none,4,unknown/no_property,35,none,for_free,1,unskilled-resident,2,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,furniture/equipment,2835,500=<_and_<1000,>7,3,male-single,none,4,building society/savings agreement/life insurance,53,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,36,existing_dues_cleared_for_now,car (used),6948,<100,1=<_and_<4,2,male-single,none,2,car or other,35,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,3059,>1000,4=<_and_<7,2,male-divorced/separated,none,4,real_estate,61,none,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,car (new),1295,<100,<1,3,female-divorced/separated/married,none,1,car or other,25,none,rent,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,1567,<100,1=<_and_<4,1,female-divorced/separated/married,none,1,car or other,22,none,own,1,skilled_employee/official,1,yes,no,good
<0,24,critical_account,car (new),1199,<100,>7,4,male-single,none,4,car or other,60,none,own,2,unskilled-resident,1,no,no,bad
<0,15,existing_dues_cleared_for_now,car (new),1403,<100,1=<_and_<4,2,female-divorced/separated/married,none,4,car or other,28,none,rent,1,skilled_employee/official,1,no,no,good
<0,24,existing_dues_cleared_for_now,radio/television,1282,100=<_and_<500,1=<_and_<4,4,female-divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,no,no,bad
no_checking_account,24,critical_account,radio/television,2424,unknown_or_no_savings_account,>7,4,male-single,none,4,building society/savings agreement/life insurance,53,none,own,2,skilled_employee/official,1,no,no,good
<0,30,none_taken/all_dues_cleared,business,8072,unknown_or_no_savings_account,<1,2,male-single,none,3,car or other,25,bank,own,3,skilled_employee/official,1,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,car (used),12579,<100,>7,4,female-divorced/separated/married,none,2,unknown/no_property,44,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,24,existing_dues_cleared_for_now,radio/television,3430,500=<_and_<1000,>7,3,male-single,none,2,car or other,31,none,own,1,skilled_employee/official,2,yes,no,good
no_checking_account,9,critical_account,car (new),2134,<100,1=<_and_<4,4,male-single,none,4,car or other,48,none,own,3,skilled_employee/official,1,yes,no,good
<0,10,critical_account,car (new),2241,<100,<1,1,male-single,none,3,real_estate,48,none,rent,2,unskilled-resident,2,no,yes,good
0=<_and_<200,12,critical_account,car (used),1804,100=<_and_<500,<1,3,male-single,none,4,building society/savings agreement/life insurance,44,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,10,critical_account,furniture/equipment,2069,unknown_or_no_savings_account,1=<_and_<4,2,male-married/widowed,none,1,car or other,26,none,own,2,skilled_employee/official,1,no,yes,good
<0,6,existing_dues_cleared_for_now,furniture/equipment,1374,<100,1=<_and_<4,1,male-single,none,2,real_estate,36,bank,own,1,unskilled-resident,1,yes,no,good
no_checking_account,6,none_taken/all_dues_cleared,radio/television,426,<100,>7,4,male-married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,no,no,good
