id,maint,doors,persons,lugboot,safety,buying
1,vhigh,2,2,small,low,vhigh
2,vhigh,2,2,small,med,vhigh
3,vhigh,2,2,small,high,vhigh
4,vhigh,2,2,med,low,vhigh
5,vhigh,2,2,med,med,vhigh
6,vhigh,2,2,med,high,vhigh
7,vhigh,2,2,big,low,vhigh
8,vhigh,2,2,big,med,vhigh
9,vhigh,2,2,big,high,vhigh
10,vhigh,2,4,small,low,vhigh
11,vhigh,2,4,small,med,vhigh
12,vhigh,2,4,small,high,vhigh
13,vhigh,2,4,med,low,vhigh
14,vhigh,2,4,med,med,vhigh
15,vhigh,2,4,med,high,vhigh
16,vhigh,2,4,big,low,vhigh
17,vhigh,2,4,big,med,vhigh
18,vhigh,2,4,big,high,vhigh
19,vhigh,2,more,small,low,vhigh
20,vhigh,2,more,small,med,vhigh
21,vhigh,2,more,small,high,vhigh
22,vhigh,2,more,med,low,vhigh
23,vhigh,2,more,med,med,vhigh
24,vhigh,2,more,med,high,vhigh
25,vhigh,2,more,big,low,vhigh
26,vhigh,2,more,big,med,vhigh
27,vhigh,2,more,big,high,vhigh
28,vhigh,3,2,small,low,vhigh
29,vhigh,3,2,small,med,vhigh
30,vhigh,3,2,small,high,vhigh
31,vhigh,3,2,med,low,vhigh
32,vhigh,3,2,med,med,vhigh
33,vhigh,3,2,med,high,vhigh
34,vhigh,3,2,big,low,vhigh
35,vhigh,3,2,big,med,vhigh
36,vhigh,3,2,big,high,vhigh
37,vhigh,3,4,small,low,vhigh
38,vhigh,3,4,small,med,vhigh
39,vhigh,3,4,small,high,vhigh
40,vhigh,3,4,med,low,vhigh
41,vhigh,3,4,med,med,vhigh
42,vhigh,3,4,med,high,vhigh
43,vhigh,3,4,big,low,vhigh
44,vhigh,3,4,big,med,vhigh
45,vhigh,3,4,big,high,vhigh
46,vhigh,3,more,small,low,vhigh
47,vhigh,3,more,small,med,vhigh
48,vhigh,3,more,small,high,vhigh
49,vhigh,3,more,med,low,vhigh
50,vhigh,3,more,med,med,vhigh
51,vhigh,3,more,med,high,vhigh
52,vhigh,3,more,big,low,vhigh
53,vhigh,3,more,big,med,vhigh
54,vhigh,3,more,big,high,vhigh
55,vhigh,4,2,small,low,vhigh
56,vhigh,4,2,small,med,vhigh
57,vhigh,4,2,small,high,vhigh
58,vhigh,4,2,med,low,vhigh
59,vhigh,4,2,med,med,vhigh
60,vhigh,4,2,med,high,vhigh
61,vhigh,4,2,big,low,vhigh
62,vhigh,4,2,big,med,vhigh
63,vhigh,4,2,big,high,vhigh
64,vhigh,4,4,small,low,vhigh
65,vhigh,4,4,small,med,vhigh
66,vhigh,4,4,small,high,vhigh
67,vhigh,4,4,med,low,vhigh
68,vhigh,4,4,med,med,vhigh
69,vhigh,4,4,med,high,vhigh
70,vhigh,4,4,big,low,vhigh
71,vhigh,4,4,big,med,vhigh
72,vhigh,4,4,big,high,vhigh
73,vhigh,4,more,small,low,vhigh
74,vhigh,4,more,small,med,vhigh
75,vhigh,4,more,small,high,vhigh
76,vhigh,4,more,med,low,vhigh
77,vhigh,4,more,med,med,vhigh
78,vhigh,4,more,med,high,vhigh
79,vhigh,4,more,big,low,vhigh
80,vhigh,4,more,big,med,vhigh
81,vhigh,4,more,big,high,vhigh
82,vhigh,morethanfive,2,small,low,vhigh
83,vhigh,morethanfive,2,small,med,vhigh
84,vhigh,morethanfive,2,small,high,vhigh
85,vhigh,morethanfive,2,med,low,vhigh
86,vhigh,morethanfive,2,med,med,vhigh
87,vhigh,morethanfive,2,med,high,vhigh
88,vhigh,morethanfive,2,big,low,vhigh
89,vhigh,morethanfive,2,big,med,vhigh
90,vhigh,morethanfive,2,big,high,vhigh
91,vhigh,morethanfive,4,small,low,vhigh
92,vhigh,morethanfive,4,small,med,vhigh
93,vhigh,morethanfive,4,small,high,vhigh
94,vhigh,morethanfive,4,med,low,vhigh
95,vhigh,morethanfive,4,med,med,vhigh
96,vhigh,morethanfive,4,med,high,vhigh
97,vhigh,morethanfive,4,big,low,vhigh
98,vhigh,morethanfive,4,big,med,vhigh
99,vhigh,morethanfive,4,big,high,vhigh
100,vhigh,morethanfive,more,small,low,vhigh
101,vhigh,morethanfive,more,small,med,vhigh
102,vhigh,morethanfive,more,small,high,vhigh
103,vhigh,morethanfive,more,med,low,vhigh
104,vhigh,morethanfive,more,med,med,vhigh
105,vhigh,morethanfive,more,med,high,vhigh
106,vhigh,morethanfive,more,big,low,vhigh
107,vhigh,morethanfive,more,big,med,vhigh
108,vhigh,morethanfive,more,big,high,vhigh
109,high,2,2,small,low,vhigh
110,high,2,2,small,med,vhigh
111,high,2,2,small,high,vhigh
112,high,2,2,med,low,vhigh
113,high,2,2,med,med,vhigh
114,high,2,2,med,high,vhigh
115,high,2,2,big,low,vhigh
116,high,2,2,big,med,vhigh
117,high,2,2,big,high,vhigh
118,high,2,4,small,low,vhigh
119,high,2,4,small,med,vhigh
120,high,2,4,small,high,vhigh
121,high,2,4,med,low,vhigh
122,high,2,4,med,med,vhigh
123,high,2,4,med,high,vhigh
124,high,2,4,big,low,vhigh
125,high,2,4,big,med,vhigh
126,high,2,4,big,high,vhigh
127,high,2,more,small,low,vhigh
128,high,2,more,small,med,vhigh
129,high,2,more,small,high,vhigh
130,high,2,more,med,low,vhigh
131,high,2,more,med,med,vhigh
132,high,2,more,med,high,vhigh
133,high,2,more,big,low,vhigh
134,high,2,more,big,med,vhigh
135,high,2,more,big,high,vhigh
136,high,3,2,small,low,vhigh
137,high,3,2,small,med,vhigh
138,high,3,2,small,high,vhigh
139,high,3,2,med,low,vhigh
140,high,3,2,med,med,vhigh
141,high,3,2,med,high,vhigh
142,high,3,2,big,low,vhigh
143,high,3,2,big,med,vhigh
144,high,3,2,big,high,vhigh
145,high,3,4,small,low,vhigh
146,high,3,4,small,med,vhigh
147,high,3,4,small,high,vhigh
148,high,3,4,med,low,vhigh
149,high,3,4,med,med,vhigh
150,high,3,4,med,high,vhigh
151,high,3,4,big,low,vhigh
152,high,3,4,big,med,vhigh
153,high,3,4,big,high,vhigh
154,high,3,more,small,low,vhigh
155,high,3,more,small,med,vhigh
156,high,3,more,small,high,vhigh
157,high,3,more,med,low,vhigh
158,high,3,more,med,med,vhigh
159,high,3,more,med,high,vhigh
160,high,3,more,big,low,vhigh
161,high,3,more,big,med,vhigh
162,high,3,more,big,high,vhigh
163,high,4,2,small,low,vhigh
164,high,4,2,small,med,vhigh
165,high,4,2,small,high,vhigh
166,high,4,2,med,low,vhigh
167,high,4,2,med,med,vhigh
168,high,4,2,med,high,vhigh
169,high,4,2,big,low,vhigh
170,high,4,2,big,med,vhigh
171,high,4,2,big,high,vhigh
172,high,4,4,small,low,vhigh
173,high,4,4,small,med,vhigh
174,high,4,4,small,high,vhigh
175,high,4,4,med,low,vhigh
176,high,4,4,med,med,vhigh
177,high,4,4,med,high,vhigh
178,high,4,4,big,low,vhigh
