,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,Age_years,Other_debtors,Unnamed: 0,Other_installment_plans,Telephone,Foreign_worker,Installment_rate,Savings_account_or_bonds,Number_existing_credits,Housing,Purpose,Present_residence_since,Personal_status,Number_people_liable,L0,L1,L2
23345,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488278186,1.7639998054527077
4605,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488278186,1.7639998054527077
42085,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488278186,1.7639998054527077
42102,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3349052169349256,1.7639999430464877
23362,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3349052169349256,1.7639999430464877
4622,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3349052169349256,1.7639999430464877
42103,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3369954029051434,1.7640020069518993
4623,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3369954029051434,1.7640020069518993
23363,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3369954029051434,1.7640020069518993
4962,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.337692131561883,1.764003245293987
23702,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.337692131561883,1.764003245293987
42442,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.337692131561883,1.764003245293987
4624,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3397823175321006,1.764008611432989
42104,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3397823175321006,1.764008611432989
23364,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3397823175321006,1.764008611432989
23365,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3411757748455795,1.7640135647775792
4625,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3411757748455795,1.7640135647775792
42105,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3411757748455795,1.7640135647775792
4963,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3357,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3415241391739494,1.7640149751023144
42106,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3399,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.3415241391739494,1.7640149751023144
