,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,Age_years,Other_debtors,Unnamed: 0,Other_installment_plans,Telephone,Foreign_worker,Installment_rate,Savings_account_or_bonds,Number_existing_credits,Housing,Purpose,Present_residence_since,Personal_status,Number_people_liable,L0,L1,L2
42085,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.334208488278186,1.4531673384841783
4605,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.334208488278186,1.4531673384841783
23345,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.334208488278186,1.4531673384841783
4622,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3349052169349256,1.4531675055092623
42102,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3349052169349256,1.4531675055092623
23362,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3349052169349256,1.4531675055092623
4623,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3369954029051434,1.4531700108832168
42103,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3369954029051434,1.4531700108832168
23363,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3369954029051434,1.4531700108832168
4962,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.337692131561883,1.4531715141055161
23702,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.337692131561883,1.4531715141055161
42442,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.337692131561883,1.4531715141055161
4624,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3397823175321006,1.4531780280508448
23364,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3397823175321006,1.4531780280508448
42104,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3397823175321006,1.4531780280508448
23365,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3411757748455795,1.4531840408975396
4625,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3411757748455795,1.4531840408975396
42105,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3411757748455795,1.4531840408975396
4963,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3357,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3415241391739494,1.4531857528840624
4626,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3399,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,2.3415241391739494,1.4531857528840624
