,Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
0,less_than0,6,critical_account,radio/television,1169,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,real_estate,67,none,own,2,skilled_employee/official,1,yes,no,good
1,no_checking_account,12,critical_account,education,2096,less_than100,4equalsless_than_and_less_than7,2,male-single,none,3,real_estate,49,none,own,1,unskilled-resident,2,no,no,good
2,less_than0,42,existing_dues_cleared_for_now,furniture/equipment,7882,less_than100,4equalsless_than_and_less_than7,2,male-single,guarantor,4,building_society/savings_agreement/life_insurance,45,none,for_free,1,skilled_employee/official,2,no,no,good
3,less_than0,24,delay_in_paying_off,car_(new),4870,less_than100,1equalsless_than_and_less_than4,3,male-single,none,4,unknown/no_property,53,none,for_free,2,skilled_employee/official,2,no,no,bad
4,no_checking_account,36,existing_dues_cleared_for_now,education,9055,unknown_or_no_savings_account,1equalsless_than_and_less_than4,2,male-single,none,4,unknown/no_property,35,none,for_free,1,unskilled-resident,2,yes,no,good
5,no_checking_account,24,existing_dues_cleared_for_now,furniture/equipment,2835,500equalsless_than_and_less_than1000,greater_than7,3,male-single,none,4,building_society/savings_agreement/life_insurance,53,none,own,1,skilled_employee/official,1,no,no,good
6,0equalsless_than_and_less_than200,36,existing_dues_cleared_for_now,car_(used),6948,less_than100,1equalsless_than_and_less_than4,2,male-single,none,2,car_or_other,35,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
7,no_checking_account,12,existing_dues_cleared_for_now,radio/television,3059,greater_than1000,4equalsless_than_and_less_than7,2,male-divorced/separated,none,4,real_estate,61,none,own,1,unskilled-resident,1,no,no,good
8,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,car_(new),1295,less_than100,less_than1,3,female-divorced/separated/married,none,1,car_or_other,25,none,rent,1,skilled_employee/official,1,no,no,bad
9,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,radio/television,1567,less_than100,1equalsless_than_and_less_than4,1,female-divorced/separated/married,none,1,car_or_other,22,none,own,1,skilled_employee/official,1,yes,no,good
10,less_than0,24,critical_account,car_(new),1199,less_than100,greater_than7,4,male-single,none,4,car_or_other,60,none,own,2,unskilled-resident,1,no,no,bad
11,less_than0,15,existing_dues_cleared_for_now,car_(new),1403,less_than100,1equalsless_than_and_less_than4,2,female-divorced/separated/married,none,4,car_or_other,28,none,rent,1,skilled_employee/official,1,no,no,good
12,less_than0,24,existing_dues_cleared_for_now,radio/television,1282,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,2,car_or_other,32,none,own,1,unskilled-resident,1,no,no,bad
13,no_checking_account,24,critical_account,radio/television,2424,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,building_society/savings_agreement/life_insurance,53,none,own,2,skilled_employee/official,1,no,no,good
14,less_than0,30,none_taken/all_dues_cleared,business,8072,unknown_or_no_savings_account,less_than1,2,male-single,none,3,car_or_other,25,bank,own,3,skilled_employee/official,1,no,no,good
15,0equalsless_than_and_less_than200,24,existing_dues_cleared_for_now,car_(used),12579,less_than100,greater_than7,4,female-divorced/separated/married,none,2,unknown/no_property,44,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
16,no_checking_account,24,existing_dues_cleared_for_now,radio/television,3430,500equalsless_than_and_less_than1000,greater_than7,3,male-single,none,2,car_or_other,31,none,own,1,skilled_employee/official,2,yes,no,good
17,no_checking_account,9,critical_account,car_(new),2134,less_than100,1equalsless_than_and_less_than4,4,male-single,none,4,car_or_other,48,none,own,3,skilled_employee/official,1,yes,no,good
18,less_than0,10,critical_account,car_(new),2241,less_than100,less_than1,1,male-single,none,3,real_estate,48,none,rent,2,unskilled-resident,2,no,yes,good
19,0equalsless_than_and_less_than200,12,critical_account,car_(used),1804,100equalsless_than_and_less_than500,less_than1,3,male-single,none,4,building_society/savings_agreement/life_insurance,44,none,own,1,skilled_employee/official,1,no,no,good
20,no_checking_account,10,critical_account,furniture/equipment,2069,unknown_or_no_savings_account,1equalsless_than_and_less_than4,2,male-married/widowed,none,1,car_or_other,26,none,own,2,skilled_employee/official,1,no,yes,good
21,less_than0,6,existing_dues_cleared_for_now,furniture/equipment,1374,less_than100,1equalsless_than_and_less_than4,1,male-single,none,2,real_estate,36,bank,own,1,unskilled-resident,1,yes,no,good
22,no_checking_account,6,none_taken/all_dues_cleared,radio/television,426,less_than100,greater_than7,4,male-married/widowed,none,4,car_or_other,39,none,own,1,unskilled-resident,1,no,no,good
23,greater_than200,12,all_dues_atbank_cleared,radio/television,409,greater_than1000,1equalsless_than_and_less_than4,3,female-divorced/separated/married,none,3,real_estate,42,none,rent,2,skilled_employee/official,1,no,no,good
24,0equalsless_than_and_less_than200,7,existing_dues_cleared_for_now,radio/television,2415,less_than100,1equalsless_than_and_less_than4,3,male-single,guarantor,2,real_estate,34,none,own,1,skilled_employee/official,1,no,no,good
25,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,business,1913,greater_than1000,less_than1,3,male-married/widowed,none,3,real_estate,36,bank,own,1,skilled_employee/official,1,yes,no,good
26,less_than0,24,existing_dues_cleared_for_now,furniture/equipment,4020,less_than100,1equalsless_than_and_less_than4,2,male-single,none,2,car_or_other,27,stores,own,1,skilled_employee/official,1,no,no,good
27,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,car_(new),5866,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,2,male-single,none,2,car_or_other,30,none,own,2,skilled_employee/official,1,yes,no,good
28,no_checking_account,12,critical_account,business,1264,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,unknown/no_property,57,none,rent,1,unskilled-resident,1,no,no,good
29,greater_than200,12,existing_dues_cleared_for_now,furniture/equipment,1474,less_than100,less_than1,4,female-divorced/separated/married,none,1,building_society/savings_agreement/life_insurance,33,bank,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
30,0equalsless_than_and_less_than200,45,critical_account,radio/television,4746,less_than100,less_than1,4,male-single,none,2,building_society/savings_agreement/life_insurance,25,none,own,2,unskilled-resident,1,no,no,bad
31,no_checking_account,48,critical_account,education,6110,less_than100,1equalsless_than_and_less_than4,1,male-single,none,3,unknown/no_property,31,bank,for_free,1,skilled_employee/official,1,yes,no,good
32,greater_than200,18,existing_dues_cleared_for_now,radio/television,2100,less_than100,1equalsless_than_and_less_than4,4,male-single,co-applicant,2,real_estate,37,stores,own,1,skilled_employee/official,1,no,no,bad
33,0equalsless_than_and_less_than200,9,existing_dues_cleared_for_now,radio/television,458,less_than100,1equalsless_than_and_less_than4,4,male-single,none,3,real_estate,24,none,own,1,skilled_employee/official,1,no,no,good
34,no_checking_account,30,existing_dues_cleared_for_now,radio/television,2333,500equalsless_than_and_less_than1000,greater_than7,4,male-single,none,2,car_or_other,30,bank,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
35,0equalsless_than_and_less_than200,18,delay_in_paying_off,repairs,6204,less_than100,1equalsless_than_and_less_than4,2,male-single,none,4,real_estate,44,none,own,1,unskilled-resident,2,yes,no,good
36,no_checking_account,36,existing_dues_cleared_for_now,radio/television,2299,500equalsless_than_and_less_than1000,greater_than7,4,male-single,none,4,car_or_other,39,none,own,1,skilled_employee/official,1,no,no,good
37,less_than0,6,existing_dues_cleared_for_now,car_(used),1352,500equalsless_than_and_less_than1000,unemployed,1,female-divorced/separated/married,none,2,building_society/savings_agreement/life_insurance,23,none,rent,1,unemployed/unskilled-non_resident,1,yes,no,good
38,no_checking_account,11,critical_account,car_(new),7228,less_than100,1equalsless_than_and_less_than4,1,male-single,none,4,building_society/savings_agreement/life_insurance,39,none,own,2,unskilled-resident,1,no,no,good
39,no_checking_account,12,existing_dues_cleared_for_now,radio/television,2073,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,female-divorced/separated/married,co-applicant,2,real_estate,28,none,own,1,skilled_employee/official,1,no,no,good
40,0equalsless_than_and_less_than200,24,delay_in_paying_off,furniture/equipment,2333,unknown_or_no_savings_account,less_than1,4,male-single,none,2,building_society/savings_agreement/life_insurance,29,bank,own,1,unskilled-resident,1,no,no,good
41,no_checking_account,12,existing_dues_cleared_for_now,radio/television,1262,less_than100,1equalsless_than_and_less_than4,3,male-single,none,2,car_or_other,25,none,own,1,skilled_employee/official,1,no,no,good
42,0equalsless_than_and_less_than200,36,delay_in_paying_off,car_(new),2225,less_than100,greater_than7,4,male-single,none,4,unknown/no_property,57,bank,for_free,2,skilled_employee/official,1,yes,no,bad
43,no_checking_account,6,all_dues_atbank_cleared,car_(new),783,unknown_or_no_savings_account,1equalsless_than_and_less_than4,1,male-single,guarantor,2,real_estate,26,stores,own,1,unskilled-resident,2,no,no,good
44,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,radio/television,6468,unknown_or_no_savings_account,unemployed,2,male-single,none,1,unknown/no_property,52,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
45,no_checking_account,36,critical_account,radio/television,9566,less_than100,1equalsless_than_and_less_than4,2,female-divorced/separated/married,none,2,car_or_other,31,stores,own,2,skilled_employee/official,1,no,no,good
46,greater_than200,18,existing_dues_cleared_for_now,car_(new),1961,less_than100,greater_than7,3,female-divorced/separated/married,none,2,car_or_other,23,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
47,less_than0,36,critical_account,furniture/equipment,6229,less_than100,less_than1,4,female-divorced/separated/married,co-applicant,4,unknown/no_property,23,none,rent,2,unskilled-resident,1,yes,no,bad
