,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,Other_installment_plans,Savings_account_or_bonds,Telephone,Number_people_liable,Present_residence_since,Number_existing_credits,Age_years,Installment_rate,Unnamed: 0,Other_debtors,Purpose,Foreign_worker,Personal_status,Housing,L0,L1,L2
16730,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,4,3.334208488278186,1.7639998054527077
1830,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,4,3.334208488278186,1.7639998054527077
9280,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,4,3.334208488278186,1.7639998054527077
1840,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3349052169349256,1.7639999430464877
16740,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3349052169349256,1.7639999430464877
9290,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3349052169349256,1.7639999430464877
16741,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3369954029051434,1.7640020069518993
1841,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3369954029051434,1.7640020069518993
9291,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3369954029051434,1.7640020069518993
1940,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.337692131561883,1.764003245293987
16840,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.337692131561883,1.764003245293987
9390,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.337692131561883,1.764003245293987
1842,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3397823175321006,1.764008611432989
9292,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3397823175321006,1.764008611432989
16742,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3397823175321006,1.764008611432989
1843,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3411757748455795,1.7640135647775792
16743,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3411757748455795,1.7640135647775792
9293,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3411757748455795,1.7640135647775792
9294,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3399,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3415241391739494,1.7640149751023144
1941,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3357,unemployed,unemployed/unskilled-non_resident,none,less_than100,no,1,2,1,22,2,0,none,radio/television,no,female-divorced/separated/married,own,5,3.3415241391739494,1.7640149751023144
