,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,Age_years,Other_debtors,Unnamed: 0,Other_installment_plans,Telephone,Foreign_worker,Installment_rate,Savings_account_or_bonds,Number_existing_credits,Housing,Purpose,Present_residence_since,Personal_status,Number_people_liable,L0,L1,L2
23345,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488,1.763999805
4605,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488,1.763999805
42085,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488,1.763999805
42102,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.334905217,1.763999943
23362,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.334905217,1.763999943
4622,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3380,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.334905217,1.763999943
42103,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.336995403,1.764002007
4623,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.336995403,1.764002007
23363,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3386,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.336995403,1.764002007
4962,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.337692132,1.764003245
23702,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.337692132,1.764003245
42442,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.337692132,1.764003245
4624,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.339782318,1.764008611
42104,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.339782318,1.764008611
23364,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3394,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.339782318,1.764008611
23365,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.341175775,1.764013565
4625,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.341175775,1.764013565
42105,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3398,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.341175775,1.764013565
4963,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3357,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.341524139,1.764014975
42106,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3399,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,5,3.341524139,1.764014975
,,,,,,,,,,,,,,,,,,,,,,,,1.764005574
